ra,dec,NUMBER_IN,FILENAME,X_POS,Y_POS,MJD-OBS,OBJECT,FILTER,EXPTIME,S-SEEING,AIRMASS,PC-ZP,PC-ZPSTD,QC-FLAG,FLAGS_MASK,BACKGROUND,MAG_OPT,MAGERR_OPT,SNR_OPT,LIMMAG_OPT,FNU_OPT,FNUERR_OPT,MAG_APER_R0.66xFWHM,MAGERR_APER_R0.66xFWHM,SNR_APER_R0.66xFWHM,FNU_APER_R0.66xFWHM,FNUERR_APER_R0.66xFWHM,MAG_APER_R1.5xFWHM,MAGERR_APER_R1.5xFWHM,SNR_APER_R1.5xFWHM,FNU_APER_R1.5xFWHM,FNUERR_APER_R1.5xFWHM,MAG_APER_R5xFWHM,MAGERR_APER_R5xFWHM,SNR_APER_R5xFWHM,FNU_APER_R5xFWHM,FNUERR_APER_R5xFWHM
243.60635,-61.06684,250,ML1_20190613_204801_red,4554.19981880101,6136.095318591758,58647.86668951908,16100,q,60.0,2.581602,1.1462653,23.7396,0.023137715,yellow,0,27.52412,13.689929,0.0016607872,653.748,19.192038,12134.684,18.561714,14.218252,0.0021458794,505.96326,7459.3154,14.742801,13.760488,0.0022012703,493.23163,11371.163,23.054409,13.579915,0.0068954434,157.45705,13428.699,85.28484
243.60635,-61.06684,250,ML1_20190614_195708_red,4403.358122352081,2184.1288540792984,58648.83135411104,1138,q,60.0,2.5709565,1.1719044,23.737854,0.02444583,yellow,0,32.298035,13.72063,0.0017559568,618.31604,19.231714,11796.36,19.078205,14.286344,0.0023406243,463.86606,7005.881,15.103242,13.792843,0.0024804994,437.7087,11037.302,25.21609,13.620241,0.0084101325,129.09859,12939.089,100.22642
243.60635,-61.06684,250,ML1_20190721_184106_red,4344.607945104209,2189.4104388813803,58685.77854973127,1138,q,60.0,3.6783962,1.1391071,23.726595,0.032932676,yellow,0,22.929054,13.711265,0.0016725833,649.1373,19.198975,11898.551,18.32979,14.331198,0.002350186,461.97882,6722.3467,14.551201,13.799103,0.002361994,459.66928,10973.848,23.873354,13.43913,0.006492717,167.2237,15287.907,91.42189
243.60635,-61.06684,250,ML1_20190721_184234_red,4344.722516727953,2189.66777662352,58685.7795610082,1138,q,60.0,3.435391,1.1389576,23.701794,0.029188683,yellow,0,22.7772,13.717971,0.0016693015,650.41345,19.212988,11825.282,18.181177,14.303967,0.002241851,484.30344,6893.0786,14.232975,13.793855,0.0021706563,500.188,11027.016,22.045744,13.488269,0.005786606,187.62918,14611.421,77.873924
243.60635,-61.06684,250,ML1_20190721_184401_red,4344.5090049502105,2189.5306850807365,58685.78057835577,1138,q,60.0,3.2625835,1.138829,23.700823,0.030860938,yellow,0,23.150562,13.723966,0.0016580073,654.84406,19.214243,11760.176,17.958742,14.293195,0.0021927266,495.1534,6961.805,14.059895,13.7930355,0.0020898979,519.51636,11035.339,21.241562,13.5263,0.005554053,195.48538,14108.463,72.17145
243.60635,-61.06684,250,ML1_20190721_184529_red,4343.868710957794,2193.646009625934,58685.78159391513,1138,q,60.0,3.5150812,1.1387223,23.706373,0.029323246,yellow,0,22.684155,13.711821,0.0016650709,652.06604,19.219822,11892.462,18.238125,14.288698,0.0022414718,484.3854,6990.696,14.432094,13.781723,0.0021956638,494.4911,11150.913,22.550282,13.465111,0.0059017376,183.9689,14926.408,81.1355
243.60635,-61.06684,250,ML1_20190721_184658_red,4343.253762323348,2195.101841463377,58685.78262065515,1138,q,60.0,3.1677628,1.1386367,23.703081,0.027988749,orange,0,23.79021,13.727802,0.0016538479,656.49097,19.202854,11718.692,17.8505,14.295747,0.0021956617,494.49155,6945.463,14.045666,13.800063,0.0021098014,514.61536,10964.132,21.305489,13.544273,0.005710344,190.135,13876.839,72.98414
243.60635,-61.06684,250,ML1_20190721_184825_red,4342.776088604544,2194.527023041122,58685.78363240082,1138,q,60.0,3.48767,1.1385741,23.705093,0.02788512,yellow,0,23.093658,13.717352,0.001666386,651.5514,19.216187,11832.032,18.159782,14.279961,0.0022160532,489.94138,7047.181,14.383723,13.791889,0.0021800154,498.0406,11046.989,22.180902,13.480195,0.0058277533,186.30441,14720.461,79.01295
243.60635,-61.06684,250,ML1_20190721_184954_red,4342.241436634855,2194.8443615045976,58685.78465496835,1138,q,60.0,3.2624915,1.1385328,23.704668,0.028144967,yellow,0,22.175276,13.724336,0.0016538525,656.48914,19.231913,11756.164,17.907629,14.280408,0.0021694119,500.47488,7044.284,14.0752,13.793883,0.002078998,522.2401,11026.727,21.114285,13.523306,0.005467964,198.56316,14147.415,71.24894
243.60635,-61.06684,250,ML1_20190721_185121_red,4341.750735033097,2199.519436857593,58685.7856631781,1138,q,60.0,3.4639592,1.1385137,23.708456,0.02957309,yellow,0,22.229439,13.718132,0.0016616738,653.3991,19.234102,11823.528,18.095415,14.2824,0.002208275,491.66705,7031.369,14.301079,13.789103,0.0021558192,503.6304,11075.383,21.99109,13.483497,0.0057394938,189.16933,14675.78,77.580124
243.60635,-61.06684,250,ML1_20190721_185249_red,4341.36239143487,2200.837663670264,58685.78668730814,1138,q,60.0,2.9781065,1.1385162,23.705055,0.028074728,yellow,0,22.340488,13.728202,0.0016387696,662.5313,19.248055,11714.38,17.681248,14.27238,0.0021568,503.40143,7096.5586,14.097217,13.794538,0.0020735723,523.60657,11020.08,21.046488,13.555312,0.0056070257,193.63852,13736.46,70.938675
243.60635,-61.06684,250,ML1_20190721_185418_red,4340.70355127078,2199.4294141171004,58685.78771189535,1138,q,60.0,3.054441,1.1385409,23.704006,0.027852904,yellow,0,21.342632,13.7249775,0.0016421856,661.15314,19.223803,11749.22,17.770798,14.274644,0.0021535128,504.1698,7081.7827,14.046423,13.790405,0.0020494063,529.7808,11062.106,20.880533,13.5419855,0.005408956,200.72932,13906.111,69.27793
243.60635,-61.06684,250,ML1_20190721_191044_red,4335.786469944389,2218.4002706117817,58685.79913071255,1138,q,60.0,2.9973326,1.1403176,23.701233,0.027914103,yellow,0,22.518877,13.707546,0.0016308049,665.7671,19.220528,11939.371,17.933256,14.264138,0.002156948,503.36688,7150.638,14.205619,13.776647,0.0020599642,527.0655,11203.184,21.255772,13.537931,0.005556754,195.39037,13958.139,71.437195
243.60635,-61.06684,250,ML1_20190721_191211_red,4335.253235885973,2216.472788479288,58685.80013811787,1138,q,60.0,3.0176718,1.1406069,23.699335,0.028949033,yellow,0,22.371525,13.707744,0.0016308299,665.7569,19.231895,11937.205,17.930277,14.277271,0.0021628623,501.99042,7064.6553,14.073287,13.778863,0.0020482899,530.0696,11180.326,21.092186,13.535875,0.005468769,198.53392,13984.578,70.43924
243.60635,-61.06684,250,ML1_20190721_191339_red,4335.098530455612,2219.3620832151805,58685.80115629876,1138,q,60.0,3.3957272,1.1409212,23.705132,0.029099124,yellow,0,24.0603,13.707113,0.0016482424,658.72363,19.206926,11944.134,18.132238,14.28048,0.0021810061,497.81436,7043.807,14.149465,13.778559,0.0020811153,521.7088,11183.454,21.436201,13.492117,0.0054497435,199.227,14559.707,73.080986
243.60635,-61.06684,250,ML1_20190721_191507_red,4334.732672736422,2222.194323600428,58685.80217133147,1138,q,60.0,3.1663814,1.1412566,23.69971,0.029752692,yellow,0,22.41791,13.707292,0.0016338334,664.533,19.217762,11942.169,17.970768,14.269585,0.0021564167,503.49088,7114.853,14.131046,13.777076,0.0020555335,528.20166,11198.751,21.201656,13.519422,0.005452891,199.11203,14198.137,71.307274
243.60635,-61.06684,250,ML1_20190721_191635_red,4334.587060346517,2223.897940494382,58685.80318614427,1138,q,60.0,3.0911772,1.1416138,23.73304,0.031985324,yellow,0,22.785429,13.703797,0.0016116101,673.6966,19.220507,11980.67,17.78348,14.266261,0.0021348926,508.56714,7136.669,14.032895,13.771355,0.002033262,533.9873,11257.911,21.08273,13.523877,0.005448435,199.27487,14139.973,70.95713
243.60635,-61.06684,250,ML1_20190721_191802_red,4334.178802263487,2222.51591206445,58685.80420131008,1138,q,60.0,3.0814872,1.1419932,23.702143,0.029519381,yellow,0,22.631924,13.701091,0.0016282173,666.82513,19.218596,12010.574,18.01158,14.259702,0.0021558132,503.6318,7179.912,14.256272,13.768792,0.0020638308,526.07806,11284.512,21.450262,13.523628,0.005569158,194.95518,14143.229,72.54605
243.60635,-61.06684,250,ML1_20190721_191930_red,4333.793357577255,2225.9411088348475,58685.80521322932,1138,q,60.0,3.3345823,1.1423931,23.704905,0.031398945,yellow,0,21.403633,13.691432,0.0016277466,667.01794,19.215414,12117.893,18.167267,14.233411,0.0021153095,513.2753,7355.9004,14.331295,13.754698,0.0020184077,537.9172,11431.964,21.252275,13.47708,0.00518827,209.26746,14762.774,70.545006
243.60635,-61.06684,250,ML1_20190721_192057_red,4333.411176657252,2228.367850860011,58685.80622352818,1138,q,60.0,2.8949254,1.1428144,23.704363,0.029040715,yellow,0,23.543127,13.696023,0.0016177472,671.1408,19.248106,12066.765,17.979483,14.257491,0.0021494403,505.12506,7194.5435,14.2430935,13.765433,0.0020514382,529.2561,11319.482,21.387533,13.541662,0.005608091,193.60173,13910.244,71.84979
